task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	e4/3c03e8	1939400	Genome_STAR (genome-STAR)	COMPLETED	0	2021-06-17 21:45:52.163	1.5s	5ms	71.4%	0	0	74.1 KB	227 B
14	ae/134f0c	1939646	Index_RiboCode (index-ribocode)	COMPLETED	0	2021-06-17 21:45:52.258	2.9s	423ms	67.2%	4.9 MB	13 MB	989.8 KB	8.1 MB
13	be/2e0a7c	1939697	Index_Price (index-price)	COMPLETED	0	2021-06-17 21:45:52.265	5.7s	2.9s	79.4%	84.6 MB	26.5 GB	13.7 MB	76.1 KB
19	f3/19ffd8	1939434	getTranscriptFasta (transcriptsFasta)	COMPLETED	0	2021-06-17 21:45:52.205	7.3s	5.8s	81.0%	5.8 MB	13.9 MB	4.4 GB	2.2 GB
17	a7/15a6c2	1939476	getTranscriptFasta (transcriptsFasta)	COMPLETED	0	2021-06-17 21:45:52.220	7.7s	5.9s	81.5%	8.2 MB	18.2 MB	4.5 GB	2.2 GB
18	0c/334242	1939934	getTranscriptFasta (transcriptsFasta)	COMPLETED	0	2021-06-17 21:45:52.310	7.7s	5s	80.4%	8 MB	18.2 MB	4 GB	2 GB
16	61/10d218	1939895	getTranscriptFasta (transcriptsFasta)	COMPLETED	0	2021-06-17 21:45:52.298	8.7s	5.3s	81.1%	7.8 MB	18.2 MB	4.2 GB	2.1 GB
22	2c/7bc87b	1950698	Mipepid (mipepid)	COMPLETED	0	2021-06-17 21:45:59.576	2.9s	1.8s	89.3%	78.5 MB	10.7 GB	17.5 MB	17 KB
26	b4/c5a42f	1951740	Mipepid (mipepid)	COMPLETED	0	2021-06-17 21:46:00.072	4s	2.5s	91.0%	84.8 MB	10.7 GB	17.5 MB	49.2 KB
29	e7/3fe315	1953851	Mipepid (mipepid)	COMPLETED	0	2021-06-17 21:46:01.045	3s	1.9s	87.1%	109 MB	10.8 GB	17.5 MB	17 KB
25	31/e53cde	1951317	Mipepid (mipepid)	COMPLETED	0	2021-06-17 21:45:59.914	4.3s	2.6s	87.3%	111.2 MB	11.3 GB	17.5 MB	46 KB
21	2d/e69fef	1939421	getTranscriptFasta (transcriptsFasta)	COMPLETED	0	2021-06-17 21:45:52.198	12.8s	11.1s	82.7%	8.3 MB	18.5 MB	9.9 GB	5 GB
23	14/0a7a71	1950712	DeepCPP (deepcpp)	COMPLETED	0	2021-06-17 21:45:59.584	6.8s	5.7s	92.2%	494.5 MB	23.4 GB	152.6 MB	16.9 KB
28	34/8c062f	1953870	DeepCPP (deepcpp)	COMPLETED	0	2021-06-17 21:46:01.049	6.7s	5.8s	90.9%	507 MB	23.4 GB	152.6 MB	16.9 KB
20	6c/32e79a	1939410	getTranscriptFasta (transcriptsFasta)	COMPLETED	0	2021-06-17 21:45:52.189	15.9s	14.9s	82.2%	8.4 MB	18.5 MB	13.8 GB	6.9 GB
31	57/3a8aa2	1959566	Mipepid (mipepid)	COMPLETED	0	2021-06-17 21:46:05.006	3.7s	2.6s	90.1%	97.1 MB	10.8 GB	17.5 MB	159.6 KB
27	1f/930665	1951721	DeepCPP (deepcpp)	COMPLETED	0	2021-06-17 21:46:00.066	8.7s	7.2s	90.5%	496.8 MB	23.4 GB	152.6 MB	17.5 KB
24	4a/5db8fe	1951277	DeepCPP (deepcpp)	COMPLETED	0	2021-06-17 21:45:59.906	9s	7.7s	90.9%	492.7 MB	23.4 GB	152.6 MB	17.1 KB
33	35/92a423	1963574	Mipepid (mipepid)	COMPLETED	0	2021-06-17 21:46:08.132	3.9s	2.4s	89.6%	110 MB	10.8 GB	17.5 MB	139.9 KB
30	24/a65c04	1959606	DeepCPP (deepcpp)	COMPLETED	0	2021-06-17 21:46:05.018	12s	11.1s	88.6%	466.8 MB	23.3 GB	152.6 MB	18 KB
32	45/4d189e	1963595	DeepCPP (deepcpp)	COMPLETED	0	2021-06-17 21:46:08.140	11.5s	9.9s	90.2%	507.3 MB	23.4 GB	152.6 MB	17.6 KB
3	c8/425bfe	1939854	Fastqc (SRR8535409_1-quality-control)	COMPLETED	0	2021-06-17 21:45:52.287	1m 43s	1m 41s	95.5%	700.8 MB	12.4 GB	820.9 MB	2 MB
5	b1/ad4bac	1939601	Fastqc (SRR8535411_1-quality-control)	COMPLETED	0	2021-06-17 21:45:52.246	1m 54s	1m 52s	95.7%	682.6 MB	12.4 GB	866.6 MB	1.9 MB
1	f4/cbfa08	1939447	Fastqc (SRR8535424_1-quality-control)	COMPLETED	0	2021-06-17 21:45:52.210	1m 59s	1m 58s	96.2%	679.1 MB	12.4 GB	863.6 MB	1.9 MB
4	b8/9b7399	1939553	Fastqc (SRR8535412_1-quality-control)	COMPLETED	0	2021-06-17 21:45:52.237	2m 27s	2m 25s	96.0%	667.4 MB	12.4 GB	1.1 GB	2.1 MB
2	9c/d9295f	1939460	Fastqc (SRR8535410_1-quality-control)	COMPLETED	0	2021-06-17 21:45:52.215	3m 24s	3m 22s	96.3%	668.2 MB	12.4 GB	1.6 GB	1.9 MB
6	c8/5238ce	1939823	Fastqc (SRR8535423_1-quality-control)	COMPLETED	0	2021-06-17 21:45:52.281	3m 25s	3m 22s	96.1%	668.1 MB	12.4 GB	1.6 GB	2 MB
12	fe/76b65b	1939498	TrimGalore (SRR8535409_1-trimming)	COMPLETED	0	2021-06-17 21:45:52.225	17m 12s	17m 11s	88.0%	2.3 GB	3 GB	13.4 GB	13 GB
7	e3/db1caf	1940035	TrimGalore (SRR8535424_1-trimming)	COMPLETED	0	2021-06-17 21:45:52.325	18m 47s	18m 44s	88.8%	2.8 GB	3.5 GB	16.5 GB	16.3 GB
10	40/772de7	1939740	TrimGalore (SRR8535411_1-trimming)	COMPLETED	0	2021-06-17 21:45:52.271	19m 7s	19m 4s	89.0%	2.8 GB	3.4 GB	16.1 GB	15.8 GB
11	be/64177e	1939639	TrimGalore (SRR8535412_1-trimming)	COMPLETED	0	2021-06-17 21:45:52.253	25m 12s	25m 10s	90.5%	4 GB	4.6 GB	21.1 GB	20.7 GB
8	cc/301674	1939987	TrimGalore (SRR8535410_1-trimming)	COMPLETED	0	2021-06-17 21:45:52.315	34m 40s	34m 36s	92.2%	4.3 GB	5 GB	27.6 GB	26.8 GB
9	5f/e8993d	1939520	TrimGalore (SRR8535423_1-trimming)	COMPLETED	0	2021-06-17 21:45:52.231	35m 6s	35m 4s	92.3%	4.4 GB	5 GB	30.3 GB	29.7 GB
35	03/62681d	2236858	Bowtie_RiboCode (bowtie-ribocode)	COMPLETED	0	2021-06-17 22:03:04.506	20m 45s	20m 44s	97.0%	61.4 MB	249.9 MB	491.8 MB	5.1 GB
39	f1/f272b2	2245765	Bowtie_RiboCode (bowtie-ribocode)	COMPLETED	0	2021-06-17 22:04:59.225	23m 28s	23m 27s	97.0%	65.1 MB	243.9 MB	635.6 MB	7 GB
37	50/02214e	2243840	Bowtie_RiboCode (bowtie-ribocode)	COMPLETED	0	2021-06-17 22:04:39.201	24m 9s	24m 8s	97.1%	67.1 MB	245.9 MB	643.2 MB	6.8 GB
41	bb/08bcfc	2271786	Bowtie_RiboCode (bowtie-ribocode)	COMPLETED	0	2021-06-17 22:11:04.267	26m 22s	26m 21s	97.1%	61.3 MB	259.9 MB	782.3 MB	8.8 GB
